================================================================================
Ciąg liczb przypisanych do kwadratu (voxela) o położeniu (0,0,0)
================================================================================

Znaleziono 3,302 trójek (0,0,0) w ciągu π

Format: [pozycja_trójki] wartość_3-cyfrowa | kontekst_przed ... (0,0,0) ... kontekst_po
--------------------------------------------------------------------------------

[     200] 000 | ...05132 (0,0,0) 56812...
[   1,418] 000 | ...71127 (0,0,0) 40785...
[   4,463] 000 | ...93095 (0,0,0) 09071...
[   5,845] 000 | ...76800 (0,0,0) 10652...
[   7,466] 000 | ...79043 (0,0,0) 15669...
[   7,586] 000 | ...99948 (0,0,0) 26699...
[   8,095] 000 | ...64819 (0,0,0) 24130...
[   8,609] 000 | ...97854 (0,0,0) 65097...
[   8,726] 000 | ...13241 (0,0,0) 94640...
[   9,663] 000 | ...84047 (0,0,0) 71435...
[  10,538] 000 | ...88544 (0,0,0) 55082...
[  10,789] 000 | ...41265 (0,0,0) 53944...
[  10,856] 000 | ...74944 (0,0,0) 32296...
[  11,790] 000 | ...56737 (0,0,0) 57387...
[  13,029] 000 | ...09534 (0,0,0) 16506...
[  13,204] 000 | ...31344 (0,0,0) 18325...
[  14,279] 000 | ...59891 (0,0,0) 29698...
[  17,072] 000 | ...87384 (0,0,0) 06167...
[  18,312] 000 | ...81470 (0,0,0) 26330...
[  18,494] 000 | ...30509 (0,0,0) 96466...
[  19,087] 000 | ...63914 (0,0,0) 85404...
[  20,392] 000 | ...99727 (0,0,0) 34728...
[  21,152] 000 | ...68330 (0,0,0) 22301...
[  22,062] 000 | ...57967 (0,0,0) 70552...
[  25,512] 000 | ...78501 (0,0,0) 64419...
[  26,307] 000 | ...62576 (0,0,0) 87081...
[  26,988] 000 | ...32271 (0,0,0) 29683...
[  27,199] 000 | ...08301 (0,0,0) 85872...
[  28,188] 000 | ...39159 (0,0,0) 35576...
[  28,257] 000 | ...91349 (0,0,0) 51802...
[  29,819] 000 | ...84459 (0,0,0) 97172...
[  29,840] 000 | ...81967 (0,0,0) 92025...
[  30,401] 000 | ...04814 (0,0,0) 36233...
[  32,390] 000 | ...86354 (0,0,0) 27406...
[  33,251] 000 | ...76452 (0,0,0) 20427...
[  34,104] 000 | ...50383 (0,0,0) 09537...
[  34,634] 000 | ...44562 (0,0,0) 94146...
[  37,156] 000 | ...30416 (0,0,0) 52108...
[  39,738] 000 | ...25299 (0,0,0) 31785...
[  39,768] 000 | ...92226 (0,0,0) 51109...
[  39,869] 000 | ...18992 (0,0,0) 41897...
[  39,876] 000 | ...15123 (0,0,0) 06444...
[  40,845] 000 | ...38585 (0,0,0) 77324...
[  41,606] 000 | ...96496 (0,0,0) 52124...
[  42,525] 000 | ...56099 (0,0,0) 38030...
[  43,109] 000 | ...26293 (0,0,0) 07612...
[  43,547] 000 | ...80905 (0,0,0) 08495...
[  43,552] 000 | ...57373 (0,0,0) 32747...
[  44,004] 000 | ...36498 (0,0,0) 24739...
[  45,813] 000 | ...11466 (0,0,0) 48468...
[  46,232] 000 | ...34567 (0,0,0) 11949...
[  46,865] 000 | ...98914 (0,0,0) 68538...
[  47,899] 000 | ...74048 (0,0,0) 68725...
[  48,183] 000 | ...33539 (0,0,0) 61073...
